Id,Name,Canonical,Region,Country,Country Code
"20746","Penang","Penang,Malaysia","","Malaysia","my"
"20747","Perlis","Perlis,Malaysia","","Malaysia","my"
"20748","Sabah","Sabah,Malaysia","","Malaysia","my"
"20749","Sarawak","Sarawak,Malaysia","","Malaysia","my"
"20750","Terengganu","Terengganu,Malaysia","","Malaysia","my"
"20751","Federal Territory of Kuala Lumpur","Federal Territory of Kuala Lumpur,Malaysia","","Malaysia","my"
"21132","Alaska","Alaska,United States","","United States","us"
"21133","Alabama","Alabama,United States","","United States","us"
"21135","Arkansas","Arkansas,United States","","United States","us"
"21136","Arizona","Arizona,United States","","United States","us"
"21137","California","California,United States","","United States","us"
"21138","Colorado","Colorado,United States","","United States","us"
"21139","Connecticut","Connecticut,United States","","United States","us"
"21140","District of Columbia","District of Columbia,United States","","United States","us"
"21141","Delaware","Delaware,United States","","United States","us"
"21142","Florida","Florida,United States","","United States","us"
"21143","Georgia","Georgia,United States","","United States","us"
"21144","Hawaii","Hawaii,United States","","United States","us"
